date,regime_open,regime_label_open,close_open,regime_noon,regime_label_noon,close_noon,shift_occurred,shift_type,price_change,price_change_pct
2025-10-23,1,bear,669.5349731445312,1,bear,671.0250244140625,False,bear → bear,0.002225501772570748,0.22255017725707482
2025-10-24,2,bull,677.3400268554688,1,bear,678.260009765625,True,bull → bear,0.0013582290632183636,0.13582290632183636
2025-10-27,2,bull,682.75,0,neutral,683.6199951171875,True,bull → neutral,0.0012742513616808004,0.12742513616808004
2025-10-28,1,bear,685.97998046875,0,neutral,685.7949829101562,True,bear → neutral,-0.0002696836115645418,-0.02696836115645418
2025-10-29,2,bull,689.22998046875,0,neutral,688.030029296875,True,bull → neutral,-0.0017410025766129156,-0.17410025766129156
2025-10-30,2,bull,682.4299926757812,2,bull,685.0599975585938,False,bull → bull,0.003853882319123203,0.3853882319123203
2025-10-31,2,bull,683.2949829101562,1,bear,681.5449829101562,True,bull → bear,-0.0025611193463571658,-0.2561119346357166
2025-11-03,2,bull,683.1699829101562,1,bear,683.614990234375,True,bull → bear,0.0006513859439829517,0.06513859439829517
2025-11-04,2,bull,676.9949951171875,1,bear,676.969970703125,True,bull → bear,-3.6963957256719304e-05,-0.0036963957256719304
2025-11-05,1,bear,674.4600219726562,1,bear,679.4400024414062,False,bear → bear,0.0073836555266606485,0.7383655526660649
2025-11-06,2,bull,675.97998046875,2,bull,670.0723266601562,False,bull → bull,-0.00873939166733484,-0.8739391667334839
2025-11-07,2,bull,665.4302978515625,1,bear,662.5599975585938,True,bull → bear,-0.004313449961980909,-0.43134499619809086
2025-11-10,2,bull,678.77001953125,1,bear,676.739990234375,True,bull → bear,-0.0029907468486556343,-0.29907468486556343
2025-11-11,1,bear,680.0468139648438,1,bear,680.760009765625,False,bear → bear,0.0010487451542096071,0.10487451542096071
2025-11-12,1,bear,684.1599731445312,1,bear,682.409912109375,False,bear → bear,-0.0025579705096056005,-0.25579705096056005
2025-11-13,2,bull,677.77001953125,2,bull,674.5800170898438,False,bull → bull,-0.004706614853829727,-0.4706614853829727
2025-11-14,2,bull,666.719970703125,2,bull,675.260009765625,False,bull → bull,0.012809034433892252,1.2809034433892252
2025-11-17,2,bull,671.9849853515625,2,bull,672.4199829101562,False,bull → bull,0.0006473322590179187,0.06473322590179187
2025-11-18,2,bull,661.8499755859375,2,bull,659.9299926757812,False,bull → bull,-0.002900933717579268,-0.2900933717579268
2025-11-19,2,bull,663.0150146484375,2,bull,660.77001953125,False,bull → bull,-0.003386039633473281,-0.3386039633473281
2025-11-20,2,bull,673.635009765625,2,bull,659.5,False,bull → bull,-0.02098318757296025,-2.098318757296025
2025-11-21,2,bull,654.3400268554688,2,bull,660.5599975585938,False,bull → bull,0.009505716367399941,0.9505716367399941
2025-11-24,2,bull,662.8900146484375,1,bear,667.27001953125,True,bull → bear,0.006607438317102199,0.6607438317102199
2025-11-25,2,bull,667.3842163085938,1,bear,672.6649780273438,True,bull → bear,0.007912626025168512,0.7912626025168512
2025-11-26,2,bull,678.7899780273438,1,bear,680.739990234375,True,bull → bear,0.0028727769562806316,0.28727769562806316
2025-11-28,1,bear,681.27001953125,0,neutral,682.72998046875,True,bear → neutral,0.0021429989514356595,0.21429989514356595
2025-12-01,2,bull,679.25,1,bear,681.8599853515625,True,bull → bear,0.0038424517505519784,0.38424517505519784
2025-12-02,2,bull,682.4099731445312,2,bull,681.2481079101562,False,bull → bull,-0.001702591228292194,-0.1702591228292194
2025-12-03,1,bear,680.8809814453125,1,bear,682.9949951171875,False,bear → bear,0.0031048211500745992,0.3104821150074599
2025-12-04,1,bear,683.8599243164062,1,bear,684.1199951171875,False,bear → bear,0.0003802983499014978,0.03802983499014978
2025-12-05,1,bear,685.8300170898438,1,bear,685.340087890625,False,bear → bear,-0.0007143595162218963,-0.07143595162218963
2025-12-08,1,bear,685.9199829101562,0,neutral,682.89501953125,True,bear → neutral,-0.0044100820128788465,-0.44100820128788465
2025-12-09,1,bear,683.7000122070312,0,neutral,684.9400024414062,True,bear → neutral,0.0018136466465346057,0.18136466465346057
2025-12-10,1,bear,682.666015625,1,bear,683.25,False,bear → bear,0.0008554466776340419,0.08554466776340419
2025-12-11,2,bull,685.5850219726562,2,bull,686.719970703125,False,bull → bull,0.0016554456326993705,0.16554456326993705
2025-12-12,1,bear,687.9400024414062,2,bull,681.8800048828125,True,bear → bull,-0.008808904173456478,-0.8808904173456478
2025-12-15,2,bull,683.6199951171875,2,bull,680.8300170898438,False,bull → bull,-0.004081182597453825,-0.4081182597453825
2025-12-16,2,bull,678.6500854492188,1,bear,678.5800170898438,True,bull → bear,-0.00010324666698979801,-0.0103246666989798
2025-12-17,1,bear,678.52001953125,1,bear,673.4000244140625,False,bear → bear,-0.007545827639285574,-0.7545827639285574
2025-12-18,2,bull,676.280029296875,2,bull,676.4400024414062,False,bull → bull,0.000236548674515058,0.0236548674515058
2025-12-19,2,bull,679.4099731445312,0,neutral,680.1400146484375,True,bull → neutral,0.001074522795901034,0.1074522795901034
2025-12-22,2,bull,683.22998046875,1,bear,684.8049926757812,True,bull → bear,0.0023052445765783247,0.23052445765783247
2025-12-23,1,bear,685.7750244140625,0,neutral,686.9400024414062,True,bear → neutral,0.0016987758169513256,0.16987758169513256
2025-12-24,0,neutral,688.280029296875,0,neutral,690.5900268554688,False,neutral → neutral,0.003356188557371853,0.3356188557371853
2025-12-26,1,bear,691.5499877929688,1,bear,689.489990234375,False,bear → bear,-0.0029788122260953065,-0.29788122260953065
2025-12-29,1,bear,688.4299926757812,0,neutral,686.8400268554688,True,bear → neutral,-0.002309553385570373,-0.23095533855703732
2025-12-30,1,bear,687.1199951171875,1,bear,687.0599975585938,False,bear → bear,-8.731743948675597e-05,-0.008731743948675597
2025-12-31,1,bear,685.85498046875,0,neutral,684.9600219726562,True,bear → neutral,-0.0013048800717057052,-0.13048800717057052
2026-01-02,2,bull,684.93017578125,2,bull,682.2999877929688,False,bull → bull,-0.003840081925549854,-0.3840081925549854
2026-01-05,2,bull,687.4000244140625,0,neutral,688.97998046875,True,bull → neutral,0.002298452136416884,0.22984521364168842
2026-01-06,1,bear,688.5,1,bear,689.9600219726562,False,bear → bear,0.002120583838280732,0.21205838382807318
2026-01-07,0,neutral,692.7412719726562,0,neutral,693.710205078125,False,neutral → neutral,0.0013986940646824042,0.13986940646824042
2026-01-08,1,bear,687.8250122070312,1,bear,689.510009765625,False,bear → bear,0.0024497474338525116,0.24497474338525116
2026-01-09,1,bear,691.3800048828125,1,bear,694.1799926757812,False,bear → bear,0.004049853587309471,0.4049853587309471
2026-01-12,1,bear,692.7498779296875,0,neutral,694.5900268554688,True,bear → neutral,0.0026562962829825842,0.2656296282982584
2026-01-13,0,neutral,695.1500244140625,1,bear,694.8800048828125,True,neutral → bear,-0.00038843346294581416,-0.038843346294581416
2026-01-14,2,bull,689.5700073242188,2,bull,687.219970703125,False,bull → bull,-0.00340797394917558,-0.340797394917558
2026-01-15,2,bull,694.0599975585938,0,neutral,695.010009765625,True,bull → neutral,0.001368775336963557,0.1368775336963557
2026-01-16,1,bear,693.135009765625,1,bear,692.739990234375,False,bear → bear,-0.000569902725565119,-0.0569902725565119
